nom_naissance,nom_dit,nom_search
A A,,A A
A B,,A B
A B & Cie,,A B ET CIE
A B R,,A B R
A. Bord et Cie,,A BORD ET CIE
A C,,A C
A C M,,A C M
A D,,A D
A D C,,A D C
A D I A,,A D I A
A D T,,A D T
A. Duseaux & Cie,,A DUSEAUX ET CIE
A F,,A F
A F B D,,A F B D
A F V,,A F V
A G,,A G
A G F,,A G F
A. GUILLOD-MARAIS & CIE,,A GUILLOD MARAIS ET CIE
A H,,A H
A H & Cie,,A H ET CIE
A HAGHI EN NAGATO Toyonobou,,A HAGHI EN NAGATO TOYONOBOU
A.K.,,A K
A L,,A L
A L'IMAGE NOTRE DAME,,A L IMAGE NOTRE DAME
A L PARIS,,A L PARIS
A LA CIVETTE,,A LA CIVETTE
A LA MENAGERE,,A LA MENAGERE
A. Lecomte et Cie,,A LECOMTE ET CIE
A M,,A M
A M B,,A M B
A M I E,,A M I E
A.M.T., ANCIENNE MAISON TURQUETIL,A M T
A N,,A N
A O,,A O
A O T,,A O T
A P,,A P
A P A,,A P A
A P M,,A P M
A Paris chez Boulard,,A PARIS CHEZ BOULARD
A Paris chez Le Vachez,,A PARIS CHEZ LE VACHEZ
A Paris chez Lordereau,,A PARIS CHEZ LORDEREAU
A Paris chez Mondhare,,A PARIS CHEZ MONDHARE
A PAS D'ANGES,,A PAS D ANGES
A R,,A R
A. Rivet,,A RIVET
A S,,A S
A S & F ARMAND SCHOW & Frères,,A S ET F ARMAND SCHOW ET FRERES
A T A M,,A T A M
A T C,,A T C
A. TOUTOY FILS,,A TOUTOY FILS
A V,,A V
A V L,,A V L
A W,,A W
A Y E F,,A Y E F
AA Pieter Boudewyn van der,,AA PIETER BOUDEWYN VAN DER
AA Pieter van der,,AA PIETER VAN DER
AAA CORP,,AAA CORP
AACHEN Hans VON,,AACHEN HANS VON
AAES Erik,,AAES ERIK
AALTO Alvar,,AALTO ALVAR
AARTMAN Adriaan,,AARTMAN ADRIAAN
AB Herman Carlson Levin,,AB HERMAN CARLSON LEVIN
ABADIA Juan de la,,ABADIA JUAN DE LA
