museo,nom,ville,latitude,longitude,pop_coordonnees,nom_search,ville_src
M0747,écomusée,SAINT NAZAIRE,47.273813,-2.198174,"47.273813,-2.198174",,Saint-Nazaire
M0205,musée,PONT AVEN,47.855497,-3.747155,"47.855497,-3.747155",,Pont-Aven
M0424,Musée Adrien Mentienne,BRY SUR MARNE,48.837058,2.520921,"48.837058,2.520921",ADRIEN MENTIENNE,Bry-sur-Marne
M0796,Musée Alexandre Dumas,VILLERS COTTERETS,49.253009,3.089691,"49.253009,3.089691",ALEXANDRE DUMAS,Villers-Cotterêts
M0707,Musée Alfred Canel,PONT AUDEMER,49.356747,0.515774,"49.356747,0.515774",ALFRED CANEL,Pont-Audemer
M0708,Musée Alphonse-Georges Poulain,VERNON,49.094855,1.484927,"49.094855,1.484927",ALPHONSE GEORGES POULAIN,Vernon
M0106,Musée Anne de Beaujeu,MOULINS,46.56707,3.331218,"46.56707,3.331218",ANNE DE BEAUJEU,Moulins
M0793,Musée Antoine Lécuyer,SAINT QUENTIN,49.849891,3.285398,"49.849891,3.285398",ANTOINE LECUYER,Saint-Quentin
M0803,Musée Antoine Vivenel,COMPIEGNE,49.417414,2.821526,"49.417414,2.821526",ANTOINE VIVENEL,Compiègne
M0436,"ARCHÉA, Archéologie en Pays de France",LOUVRES,49.041117,2.50695,"49.041117,2.50695",ARCHEA ARCHEOLOGIE EN PAYS DE FRANCE,Louvres
M0138,Musée archéologique,DIJON,48.332476,6.638243,"48.332476,6.638243",ARCHEOLOGIQUE,Dijon
M0571,Musée archéologique,EAUZE,43.862193,0.101384,"43.862193,0.101384",ARCHEOLOGIQUE,Eauze
M0472,Musée archéologique,LATTES,43.566729,3.908384,"43.566729,3.908384",ARCHEOLOGIQUE,Lattes
M0015,Musée archéologique,STRASBOURG,48.581229,7.751984,"48.581229,7.751984",ARCHEOLOGIQUE,Strasbourg
M0883,Musée archéologique de Cimiez,NICE,43.719221,7.275115,"43.719221,7.275115",ARCHEOLOGIQUE DE CIMIEZ,Nice
M0765,Musée archéologique départemental,JUBLAINS,48.255526,-0.496863,"48.255526,-0.496863",ARCHEOLOGIQUE DEPARTEMENTAL,Jublains
M0434,Musée Archéologique départemental du Val-d'Oise,GUIRY EN VEXIN,49.108589,1.849395,"49.108589,1.849395",ARCHEOLOGIQUE DEPARTEMENTAL DU VAL D OISE,Guiry-en-Vexin
M0848,Musée archéologique et d'ethnographie locale,CHAUVIGNY,46.57103543157692,0.6478487283875319,"46.57103543157692,0.6478487283875319",ARCHEOLOGIQUE ET D ETHNOGRAPHIE LOCALE,Chauvigny
M0790,Musée archéologique municipal,LAON,49.563206,3.626781,"49.563206,3.626781",ARCHEOLOGIQUE MUNICIPAL,Laon
M0291,Musée Arthur Rimbaud,CHARLEVILLE MEZIERES,49.776034,4.720613,"49.776034,4.720613",ARTHUR RIMBAUD,Charleville-Mézières
M0159,Musée Auguste Grasset,VARZY,47.359898,3.388044,"47.359898,3.388044",AUGUSTE GRASSET,Varzy
M0120,Musée Bargoin,CLERMONT FERRAND,45.774229,3.0869,"45.774229,3.0869",BARGOIN,Clermont-Ferrand
M0357,Musée Baron Martin,GRAY,47.446411,5.592781,"47.446411,5.592781",BARON MARTIN,Gray
M0927,Musée Baroncelli,SAINTES MARIES DE LA MER,43.45124,4.427775,"43.45124,4.427775",BARONCELLI,Saintes-Maries-de-la-Mer
M0517,Musée Barrois,BAR LE DUC,48.771797,5.156074,"48.771797,5.156074",BARROIS,Bar-le-Duc
M0093,Musée Basque et de l'Histoire de Bayonne,BAYONNE,43.491093,-1.473823,"43.491093,-1.473823",BASQUE ET DE L HISTOIRE DE BAYONNE,Bayonne
M0841,Musée Bernard d'Agesci,NIORT,46.321065,-0.454107,"46.321065,-0.454107",BERNARD D AGESCI,Niort
M0247,Musée Bertrand,CHATEAUROUX,46.813737,1.694262,"46.813737,1.694262",BERTRAND,Châteauroux
B9001,Bibliothèque de l'Assemblée Nationale,PARIS,48.86215,2.31897,"48.86215,2.31897",BIBLIOTHEQUE DE L ASSEMBLEE NATIONALE,Paris
B9003,Bibliothèque municipale de Besançon,BESANCON,47.23649,6.0274,"47.23649,6.0274",BIBLIOTHEQUE MUNICIPALE DE BESANCON,Besançon
B9002,Bibliothèque municipale de Grasse,GRASSE,43.65559,6.91736,"43.65559,6.91736",BIBLIOTHEQUE MUNICIPALE DE GRASSE,Grasse
M0956,musée-bibliothèque Pétrarque,FONTAINE DE VAUCLUSE,43.91753,5.056541,"43.91753,5.056541",BIBLIOTHEQUE PETRARQUE,Fontaine-de-Vaucluse
M0132,Musée Bonaparte,AUXONNE,47.193906,5.386985,"47.193906,5.386985",BONAPARTE,Auxonne
M0094,"musée Bonnat-Helleu, musée des Beaux-Arts de Bayonne",BAYONNE,43.492108,-1.472299,"43.492108,-1.472299",BONNAT HELLEU DES BEAUX ARTS DE BAYONNE,Bayonne
M0811,Musée Boucher de Perthes,ABBEVILLE,50.10712,1.833193,"50.10712,1.833193",BOUCHER DE PERTHES,Abbeville
M0013,Cabinet des Estampes et des Dessins,STRASBOURG,48.581108,7.750829,"48.581108,7.750829",CABINET DES ESTAMPES ET DES DESSINS,Strasbourg
M0946,Musée Calvet (et musée Lapidaire),AVIGNON,43.946985,4.803388,"43.946985,4.803388",CALVET ET LAPIDAIRE,Avignon
M0301,Musée Camille Claudel,NOGENT SUR SEINE,48.253639,4.458291,"48.253639,4.458291",CAMILLE CLAUDEL,Nogent-sur-Seine
M0915,Musée Cantini,MARSEILLE,43.292383,5.378137,"43.292383,5.378137",CANTINI,Marseille
