ville_search,ville,departement,region1,region2,pays
ABBEVILLE,Abbeville,Somme,Picardie,Hauts-de-France,France
AGDE,Agde,Hérault,Languedoc-Roussillon,Occitanie,France
AGEN,Agen,Lot-et-Garonne,Aquitaine,Nouvelle-Aquitaine,France
AIX EN PROVENCE,Aix-en-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,France
AIX LES BAINS,Aix-les-Bains,Paris,Ile-de-France,,France
AJACCIO,Ajaccio,Corse-du-Sud,Corse,,France
ALENCON,Alençon,Orne,Picardie,Hauts-de-France,France
ALLEVARD,Allevard,Isère,Rhône-Alpes,Auvergne-Rhône-Alpes,France
ALTKIRCH,Altkirch,Haut-Rhin,Alsace,Grand Est,France
AMBOISE,Amboise,Indre-et-Loire,Centre,Centre-Val de Loire,France
AMIENS,Amiens,Somme,Picardie,Hauts-de-France,France
ANGERS,Angers,Maine-et-Loire,Pays-de-la-Loire,,France
ANNECY,Annecy,Haute-Savoie,Rhône-Alpes,Auvergne-Rhône-Alpes,France
ANTIBES,Antibes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,France
AOSTE,Aoste,Isère,Rhône-Alpes,Auvergne-Rhône-Alpes,France
APT,Apt,Vaucluse,Provence-Alpes-Côte d'Azur,,France
ARBOIS,Arbois,Jura,Franche-Comté,Bourgogne-Franche-Comté,France
ARGENTEUIL,Argenteuil,Val-d'Oise,Ile-de-France,,France
ARLES,Arles,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,,France
ARRAS,Arras,Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,France
AUBENAS,Aubenas,Yvelines,Ile-de-France,,France
AUCH,Auch,Gers,Midi-Pyrénées,Occitanie,France
AUTUN,Autun,Saône-et-Loire,Bourgogne,Bourgogne-Franche-Comté,France
AUVERS SUR OISE,Auvers-sur-Oise,Val d'Oise,Ile-de-France,,France
AUXERRE,Auxerre,Yonne,Bourgogne,Bourgogne-Franche-Comté,France
AUXONNE,Auxonne,Côte-d'Or,Bourgogne,Bourgogne-Franche-Comté,France
AVALLON,Avallon,Yonne,Bourgogne,Bourgogne-Franche-Comté,France
AVIGNON,Avignon,Vaucluse,Provence-Alpes-Côte d'Azur,,France
AVRANCHES,Avranches,Manche,Basse-Normandie,Normandie,France
AZAY LE RIDEAU,Azay-le-Rideau,Yvelines,Ile-de-France,,France
BAGNERES DE BIGORRE,Bagnères-de-Bigorre,Hautes-Pyrénées,Midi-Pyrénées,Occitanie,France
BAGNOLS SUR CEZE,Bagnols-sur-Cèze,Gard,Languedoc-Roussillon,Occitanie,France
BAR LE DUC,Bar-le-Duc,Meuse,Lorraine,Grand Est,France
BARCELONNETTE,Barcelonnette,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,,France
BARENTIN,Barentin,Seine-Maritime,Haute-Normandie,Normandie,France
BASTIA,Bastia,Corse-du-Sud,Corse,,France
BAUD,Baud,Morbihan,Bretagne,,France
BAYEUX,Bayeux,Calvados,Basse-Normandie,Normandie,France
BAYONNE,Bayonne,Pyrénées-Atlantiques,Aquitaine,Nouvelle-Aquitaine,France
BEAUNE,Beaune,Côte-d'Or,Bourgogne,Bourgogne-Franche-Comté,France
BEAUVAIS,Beauvais,Oise,Picardie,Hauts-de-France,France
BELFORT,Belfort,Territoire de Belfort,Franche-Comté,Bourgogne-Franche-Comté,France
BERNAY,Bernay,Eure,Haute-Normandie,Normandie,France
BESANCON,Besançon,Doubs,Franche-Comté,Bourgogne-Franche-Comté,France
BETHUNE,Béthune,Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,France
BIESHEIM,Biesheim,Haut-Rhin,Alsace,Grand Est,France
BIOT,Biot,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,France
BLERANCOURT,Blérancourt,Aisne,Picardie,Hauts-de-France,France
BLOIS,Blois,Loir-et-Cher,Centre,Centre-Val de Loire,France
BONN,Bonn,,,,Allemagne
BORDEAUX,Bordeaux,Gironde,Aquitaine,Nouvelle-Aquitaine,France
BOULOGNE SUR MER,Boulogne-sur-Mer,Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,France
BOURBON LANCY,Bourbon-Lancy,Saône-et-Loire,Bourgogne,Bourgogne-Franche-Comté,France
BOURG EN BRESSE,Bourg-en-Bresse,Ain,Rhône-Alpes,Auvergne-Rhône-Alpes,France
BOURG SAINT MAURICE,Bourg-Saint-Maurice,Savoie,Rhône-Alpes,Auvergne-Rhône-Alpes,France
BOURGES,Bourges,Cher,Centre,Centre-Val de Loire,France
BOURGOIN JALLIEU,Bourgoin-Jallieu,Isère,Rhône-Alpes,Auvergne-Rhône-Alpes,France
BOURNEVILLE,Bourneville,Eure,Haute-Normandie,Normandie,France
BOUXWILLER,Bouxwiller,Bas-Rhin,Alsace,Grand Est,France
BREST,Brest,Finistère,Bretagne,,France
BRIANCON,Briançon,,,,France
BRUNOY,Brunoy,Essonne,Ile-de-France,,France
BRUXELLES,Bruxelles,,,,Belgique
BRY SUR MARNE,Bry-sur-Marne,Val-de-Marne,Ile-de-France,,France
CAEN,Caen,Calvados,Basse-Normandie,Normandie,France
CAHORS,Cahors,Lot,Midi-Pyrénées,Occitanie,France
CALAIS,Calais,Pas-de-Calais,Nord-Pas-de-Calais,Hauts-de-France,France
CAMBRAI,Cambrai,Nord,Nord-Pas-de-Calais,Hauts-de-France,France
CANNES,Cannes,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,,France
CARCASSONNE,Carcassonne,Aude,Languedoc-Roussillon,Occitanie,France
CARPENTRAS,Carpentras,Paris,Ile-de-France,,France
CASSEL,Cassel,Nord,Nord-Pas-de-Calais,Hauts-de-France,France
CASTELLARE DI MERCURIO,Castellare-di-Mercurio,,Corse,,France
CASTRES,Castres,Tarn,Midi-Pyrénées,Occitanie,France
CAUDEBEC EN CAUX,Caudebec-en-Caux,Seine-Maritime,Haute-Normandie,Normandie,France
CERET,Céret,Pyrénées-Orientales,Languedoc-Roussillon,Occitanie,France
